seed;iteracao_validacao_cruzada;features_nao_correlacionadas;features_missing_values
66;8;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
66;9;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
72;0;['simple.numeric', 'simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.nominal_rate', 'simple.symbols_max', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_max', 'landmarking.stump_sd', 'landmarking.nn_1', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
72;1;['simple.numeric', 'simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.nominal_rate', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_max', 'landmarking.stump_sd', 'landmarking.nn_1', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
72;2;['simple.numeric', 'simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.nominal_rate', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_max', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
72;3;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_max', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
72;4;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_max', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
72;5;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
72;6;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
72;7;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
72;8;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
72;9;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
111;0;['simple.numeric', 'simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.nominal_rate', 'simple.symbols_max', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_max', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_max', 'landmarking.stump_sd', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n1', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
111;1;['simple.numeric', 'simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.nominal_rate', 'simple.symbols_max', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_max', 'landmarking.stump_sd', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n1', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
111;2;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n1', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
111;3;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
111;4;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
111;5;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
111;6;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
111;7;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'modelbased.attribute_sd', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f1v', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
111;8;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
111;9;['simple.nominal', 'simple.samples', 'simple.dimensionality', 'simple.symbols_mean', 'simple.class_prob_min', 'simple.class_prob_mean', 'simple.class_prob_sd', 'statistical.skewness', 'statistical.skewness_prep', 'statistical.kurtosis_prep', 'statistical.abs_cor', 'statistical.cancor_1', 'statistical.fract_1', 'inftheo.normalized_class_entropy', 'inftheo.attribute_entropy', 'inftheo.normalized_attribute_entropy', 'inftheo.joint_entropy', 'inftheo.mutual_information', 'inftheo.equivalent_attributes', 'inftheo.noise_signal_ratio', 'modelbased.nodes_per_instance', 'modelbased.leaf_corrobation', 'modelbased.level_min', 'modelbased.level_sd', 'modelbased.branch_min', 'modelbased.branch_mean', 'modelbased.attribute_min', 'modelbased.attribute_max', 'modelbased.attribute_mean', 'landmarking.naive_bayes', 'landmarking.stump_sd', 'f1', 'f2', 'f3', 'f4', 'l1', 'l2', 'l3', 'n2', 'n4', 't1', 't2', 'density', 'closeness', 'clsCoef', 'hubs', 'avgPath'];None
